aggregate_level,kota,kecamatan,kelurahan,rw,rt,sector,subsector,asset,total_asset
KELURAHAN,JAKARTA UTARA,CILINCING,KALI BARU,,,PRODUKTIF,PERTANIAN,TAMBAK,1210000
KELURAHAN,JAKARTA UTARA,CILINCING,CILINCING,,,PRODUKTIF,PERTANIAN,TAMBAK,1210000
KELURAHAN,JAKARTA UTARA,PENJARINGAN,KAPUK MUARA,,,PRODUKTIF,PERTANIAN,TAMBAK,1210000
KECAMATAN,JAKARTA SELATAN,KEBAYORAN BARU,,,,INFRASTRUKTUR,ENERGI,HIDRAN,34
KECAMATAN,JAKARTA TIMUR,CAKUNG,,,,INFRASTRUKTUR,ENERGI,HIDRAN,63
KECAMATAN,JAKARTA BARAT,CENGKARENG,,,,INFRASTRUKTUR,ENERGI,HIDRAN,16
KECAMATAN,JAKARTA UTARA,CILINCING,,,,INFRASTRUKTUR,ENERGI,HIDRAN,65
KECAMATAN,JAKARTA TIMUR,CIRACAS,,,,INFRASTRUKTUR,ENERGI,HIDRAN,17
KECAMATAN,JAKARTA TIMUR,DUREN SAWIT,,,,INFRASTRUKTUR,ENERGI,HIDRAN,108
KECAMATAN,JAKARTA BARAT,GROGOLPETAMBURAN,,,,INFRASTRUKTUR,ENERGI,HIDRAN,29
KECAMATAN,JAKARTA TIMUR,JATINEGARA,,,,INFRASTRUKTUR,ENERGI,HIDRAN,55
KECAMATAN,JAKARTA BARAT,KALIDERES,,,,INFRASTRUKTUR,ENERGI,HIDRAN,6
KECAMATAN,JAKARTA BARAT,KEBONJERUK,,,,INFRASTRUKTUR,ENERGI,HIDRAN,37
KECAMATAN,JAKARTA UTARA,KELAPA GADING,,,,INFRASTRUKTUR,ENERGI,HIDRAN,57
KECAMATAN,JAKARTA BARAT,KEMBANGAN,,,,INFRASTRUKTUR,ENERGI,HIDRAN,6
KECAMATAN,JAKARTA UTARA,KOJA,,,,INFRASTRUKTUR,ENERGI,HIDRAN,50
KECAMATAN,JAKARTA TIMUR,KRAMATJATI,,,,INFRASTRUKTUR,ENERGI,HIDRAN,50
KECAMATAN,JAKARTA TIMUR,MAKASAR,,,,INFRASTRUKTUR,ENERGI,HIDRAN,12
KECAMATAN,JAKARTA TIMUR,MATRAMAN,,,,INFRASTRUKTUR,ENERGI,HIDRAN,44
KECAMATAN,JAKARTA UTARA,PADEMANGAN,,,,INFRASTRUKTUR,ENERGI,HIDRAN,15
KECAMATAN,JAKARTA BARAT,PALMERAH,,,,INFRASTRUKTUR,ENERGI,HIDRAN,45
KECAMATAN,JAKARTA TIMUR,PASARREBO,,,,INFRASTRUKTUR,ENERGI,HIDRAN,19
KECAMATAN,JAKARTA UTARA,PENJARINGAN,,,,INFRASTRUKTUR,ENERGI,HIDRAN,16
KECAMATAN,JAKARTA TIMUR,PULOGADUNG,,,,INFRASTRUKTUR,ENERGI,HIDRAN,93
KECAMATAN,JAKARTA SELATAN,KEBAYORAN LAMA,,,,INFRASTRUKTUR,ENERGI,HIDRAN,36
KECAMATAN,JAKARTA PUSAT,GAMBIR,,,,INFRASTRUKTUR,ENERGI,HIDRAN,29
KECAMATAN,JAKARTA SELATAN,KEBAYORAN BARU,,,,INFRASTRUKTUR,ENERGI,HIDRAN,45
KECAMATAN,JAKARTA PUSAT,TANAHABANG,,,,INFRASTRUKTUR,ENERGI,HIDRAN,43
KECAMATAN,JAKARTA SELATAN,MAMPANG PRAPATAN,,,,INFRASTRUKTUR,ENERGI,HIDRAN,15
KECAMATAN,JAKARTA PUSAT,MENTENG,,,,INFRASTRUKTUR,ENERGI,HIDRAN,43
KECAMATAN,JAKARTA PUSAT,JOHAR BARU,,,,INFRASTRUKTUR,ENERGI,HIDRAN,24
KECAMATAN,JAKARTA SELATAN,PASAR MINGGU,,,,INFRASTRUKTUR,ENERGI,HIDRAN,13
KECAMATAN,JAKARTA PUSAT,CEMPAKA PUTIH,,,,INFRASTRUKTUR,ENERGI,HIDRAN,31
KECAMATAN,JAKARTA SELATAN,CILANDAK,,,,INFRASTRUKTUR,ENERGI,HIDRAN,21
KECAMATAN,JAKARTA PUSAT,KEMAYORAN,,,,INFRASTRUKTUR,ENERGI,HIDRAN,45
KECAMATAN,JAKARTA SELATAN,TEBET,,,,INFRASTRUKTUR,ENERGI,HIDRAN,31
KECAMATAN,JAKARTA PUSAT,SENEN,,,,INFRASTRUKTUR,ENERGI,HIDRAN,56
KECAMATAN,JAKARTA SELATAN,SETIABUDI,,,,INFRASTRUKTUR,ENERGI,HIDRAN,25
KECAMATAN,JAKARTA SELATAN,PANCORAN,,,,INFRASTRUKTUR,ENERGI,HIDRAN,16
KECAMATAN,JAKARTA PUSAT,SAWAH BESAR,,,,INFRASTRUKTUR,ENERGI,HIDRAN,28
KECAMATAN,JAKARTA BARAT,TAMANSARI,,,,INFRASTRUKTUR,ENERGI,HIDRAN,14
KECAMATAN,JAKARTA BARAT,TAMBORA,,,,INFRASTRUKTUR,ENERGI,HIDRAN,14
KECAMATAN,JAKARTA UTARA,TANJUNG PRIOK,,,,INFRASTRUKTUR,ENERGI,HIDRAN,59
KELURAHAN,JAKARTA UTARA,PADEMANGAN,ANCOL,,,LINTAS SEKTOR,FINANSIAL,ATM,14
KELURAHAN,JAKARTA BARAT,TAMBORA,ANGKE,,,LINTAS SEKTOR,FINANSIAL,ATM,32
KELURAHAN,JAKARTA TIMUR,KRAMATJATI,BALE KAMBANG,,,LINTAS SEKTOR,FINANSIAL,ATM,7
KELURAHAN,JAKARTA TIMUR,JATINEGARA,BALI MESTER,,,LINTAS SEKTOR,FINANSIAL,ATM,132
KELURAHAN,JAKARTA TIMUR,CIPAYUNG,BAMBU APUS,,,LINTAS SEKTOR,FINANSIAL,ATM,10
KELURAHAN,JAKARTA SELATAN,MAMPANG PRAPATAN,BANGKA,,,LINTAS SEKTOR,FINANSIAL,ATM,78
KELURAHAN,JAKARTA TIMUR,PASARREBO,BARU,,,LINTAS SEKTOR,FINANSIAL,ATM,57
KELURAHAN,JAKARTA TIMUR,KRAMATJATI,BATU AMPAR,,,LINTAS SEKTOR,FINANSIAL,ATM,34
