SECTOR,SUBSECTOR,ASSET,CALCULATION TYPE
INFRASTRUKTUR,AIR BERSIH DAN SANITASI,PINTU AIR,UNIT
INFRASTRUKTUR,AIR BERSIH DAN SANITASI,POMPA AIR,UNIT
INFRASTRUKTUR,AIR BERSIH DAN SANITASI,TANGGUL AIR,UNIT
INFRASTRUKTUR,AIR BERSIH DAN SANITASI,MCK,UNIT
INFRASTRUKTUR,AIR BERSIH DAN SANITASI,INSTALASI PENGOLAHAN AIR PDAM,UNIT
INFRASTRUKTUR,AIR BERSIH DAN SANITASI,HIDRAN,UNIT
INFRASTRUKTUR,ENERGI,PEMBANGKIT PLN,UNIT
INFRASTRUKTUR,ENERGI,GARDU PLN,UNIT
INFRASTRUKTUR,TELEKOMUNIKASI,INSTALASI TELEKOMUNIKASI,UNIT
INFRASTRUKTUR,TRANSPORTASI,BANDARA,UNIT
INFRASTRUKTUR,TRANSPORTASI,HALTE,UNIT
INFRASTRUKTUR,TRANSPORTASI,DIPO KERETA API,UNIT
INFRASTRUKTUR,TRANSPORTASI,POOL BUS,UNIT
INFRASTRUKTUR,TRANSPORTASI,POOL TAXI,UNIT
INFRASTRUKTUR,TRANSPORTASI,TERMINAL,UNIT
INFRASTRUKTUR,TRANSPORTASI,STASIUN KERETA API,UNIT
INFRASTRUKTUR,TRANSPORTASI,PO BUS,UNIT
INFRASTRUKTUR,TRANSPORTASI,JALAN,LENGTH
INFRASTRUKTUR,TRANSPORTASI,KENDARAAN,LENGTH
LINTAS SEKTOR,AGAMA,GEREJA,UNIT
LINTAS SEKTOR,AGAMA,KLENTENG,UNIT
LINTAS SEKTOR,AGAMA,LEMBAGA AGAMA,UNIT
LINTAS SEKTOR,AGAMA,MASJID,UNIT
LINTAS SEKTOR,AGAMA,MUSHOLLA,UNIT
LINTAS SEKTOR,AGAMA,PURA,UNIT
LINTAS SEKTOR,AGAMA,WIHARA,UNIT
LINTAS SEKTOR,AGAMA,YAYASAN AGAMA,UNIT
LINTAS SEKTOR,AGAMA,MAJELIS TAKLIM,UNIT
LINTAS SEKTOR,FINANSIAL,ASURANSI,UNIT
LINTAS SEKTOR,FINANSIAL,PEGADAIAN,UNIT
LINTAS SEKTOR,FINANSIAL,BANK,UNIT
LINTAS SEKTOR,LINGKUNGAN,HUTAN KOTA,AREA
LINTAS SEKTOR,LINGKUNGAN,RTH,AREA
LINTAS SEKTOR,LINGKUNGAN,KEBERSIHAN,UNIT
LINTAS SEKTOR,LINGKUNGAN,KUBURAN_MAKAM,AREA
LINTAS SEKTOR,LINGKUNGAN,RAWA,AREA
LINTAS SEKTOR,LINGKUNGAN,DANAU,AREA
LINTAS SEKTOR,LINGKUNGAN,SITU,AREA
LINTAS SEKTOR,LINGKUNGAN,WADUK,AREA
LINTAS SEKTOR,LINGKUNGAN,TAMAN,AREA
LINTAS SEKTOR,LINGKUNGAN,TANAH KOSONG,AREA
LINTAS SEKTOR,PEMERINTAHAN,FASILITAS KEPOLISIAN,UNIT
LINTAS SEKTOR,PEMERINTAHAN,FASILITAS MILITER,UNIT
LINTAS SEKTOR,PEMERINTAHAN,POS POLISI,UNIT
LINTAS SEKTOR,PEMERINTAHAN,KANTOR KECAMATAN,UNIT
LINTAS SEKTOR,PEMERINTAHAN,KANTOR KELURAHAN,UNIT
LINTAS SEKTOR,PEMERINTAHAN,KEDUTAAN BESAR,UNIT
LINTAS SEKTOR,PEMERINTAHAN,PEMADAM KEBAKARAN,UNIT
LINTAS SEKTOR,PEMERINTAHAN,PERKANTORAN PEMERINTAH,UNIT
LINTAS SEKTOR,PEMERINTAHAN,RUMAH DINAS,UNIT
PRODUKTIF,BISNIS,PERKANTORAN,UNIT
PRODUKTIF,BISNIS,RUKAN,UNIT
PRODUKTIF,INDUSTRI,INDUSTRI NON PERTANIAN,UNIT
PRODUKTIF,INDUSTRI,INDUSTRI PENGOLAHAN PERTANIAN,UNIT
PRODUKTIF,INDUSTRI,ANEKA INDUSTRI,UNIT
PRODUKTIF,INDUSTRI,PERGUDANGAN,UNIT
PRODUKTIF,PARIWISATA,TAMAN WISATA,UNIT
PRODUKTIF,PARIWISATA,AKOMODASI_REKREASI,UNIT
PRODUKTIF,PARIWISATA,BILLIARD,UNIT
PRODUKTIF,PARIWISATA,BIOSKOP,UNIT
PRODUKTIF,PARIWISATA,HOTEL,UNIT
PRODUKTIF,PARIWISATA,LOSMEN,UNIT
PRODUKTIF,PARIWISATA,DISKOTIK,UNIT
PRODUKTIF,PARIWISATA,STADION,UNIT
PRODUKTIF,PARIWISATA,FASILITAS OLAHRAGA,UNIT
PRODUKTIF,PARIWISATA,WISATA AIR,UNIT
PRODUKTIF,PARIWISATA,WISATA WAHANA,UNIT
PRODUKTIF,PARIWISATA,MUSEUM,UNIT
PRODUKTIF,PARIWISATA,GEDUNG KESENIAN,UNIT
PRODUKTIF,PARIWISATA,KEBUN BINATANG,UNIT
PRODUKTIF,PERDAGANGAN,PELABUHAN,UNIT
PRODUKTIF,PERDAGANGAN,MALL,UNIT
PRODUKTIF,PERDAGANGAN,RESTORAN,UNIT
PRODUKTIF,PERDAGANGAN,STUDIO MUSIK,UNIT
PRODUKTIF,PERDAGANGAN,WARNET,UNIT
PRODUKTIF,PERDAGANGAN,PANTI PIJAT,UNIT
PRODUKTIF,PERDAGANGAN,GEDUNG SERBAGUNA,UNIT
PRODUKTIF,PERDAGANGAN,LEMBAGA USAHA,UNIT
PRODUKTIF,PERDAGANGAN,SALON,UNIT
PRODUKTIF,PERDAGANGAN,YAYASAN USAHA,UNIT
PRODUKTIF,PERDAGANGAN,KANTOR POS,UNIT
PRODUKTIF,PERDAGANGAN,KOPERASI,UNIT
PRODUKTIF,PERDAGANGAN,CARGO LOGISTIK,UNIT
PRODUKTIF,PERDAGANGAN,PASAR TRADISIONAL,UNIT
PRODUKTIF,PERDAGANGAN,PERBENGKELAN,UNIT
PRODUKTIF,PERDAGANGAN,DEPARTEMENT STORE,UNIT
PRODUKTIF,PERDAGANGAN,HYPERMARKET,UNIT
PRODUKTIF,PERDAGANGAN,MINIMARKET,UNIT
PRODUKTIF,PERDAGANGAN,OPTIK,UNIT
PRODUKTIF,PERDAGANGAN,PERTOKOAN,UNIT
PRODUKTIF,PERDAGANGAN,RUKO,UNIT
PRODUKTIF,PERDAGANGAN,APOTIK,UNIT
PRODUKTIF,PERDAGANGAN,SHOWROOM,UNIT
PRODUKTIF,PERDAGANGAN,SPBU,UNIT
LINTAS SEKTOR,FINANSIAL,ATM,UNIT
PRODUKTIF,PERDAGANGAN,USAHA MIKRO,UNIT
PRODUKTIF,PERDAGANGAN,USAHA KECIL,UNIT
PRODUKTIF,PERDAGANGAN,USAHA MENENGAH,UNIT
PRODUKTIF,PERTANIAN,TAMBAK,UNIT
PRODUKTIF,PERTANIAN,KOLAM_EMPANG,AREA
PRODUKTIF,PERTANIAN,SAWAH,AREA
PRODUKTIF,PERTANIAN,KEBUN,AREA
PRODUKTIF,PERTANIAN,PETERNAKAN,UNIT
PRODUKTIF,PERTANIAN,PERIKANAN,UNIT
PRODUKTIF,PERUMAHAN,WISMA,UNIT
SOSIAL DAN PERUMAHAN,KESEHATAN,KLINIK,UNIT
SOSIAL DAN PERUMAHAN,KESEHATAN,PUSKESMAS,UNIT
SOSIAL DAN PERUMAHAN,KESEHATAN,RUMAH SAKIT,UNIT
SOSIAL DAN PERUMAHAN,KESEHATAN,POSYANDU,UNIT
SOSIAL DAN PERUMAHAN,PELAYANAN KOMUNITAS,AULA,UNIT
SOSIAL DAN PERUMAHAN,PELAYANAN KOMUNITAS,BALAI WARGA,UNIT
SOSIAL DAN PERUMAHAN,PELAYANAN KOMUNITAS,JASA PELAYANAN UMUM LAIN,UNIT
SOSIAL DAN PERUMAHAN,PELAYANAN KOMUNITAS,KANTOR RT,UNIT
SOSIAL DAN PERUMAHAN,PELAYANAN KOMUNITAS,KANTOR RW,UNIT
SOSIAL DAN PERUMAHAN,PELAYANAN KOMUNITAS,KARANG TARUNA,UNIT
SOSIAL DAN PERUMAHAN,PELAYANAN KOMUNITAS,POS KAMLING,UNIT
SOSIAL DAN PERUMAHAN,PELAYANAN KOMUNITAS,POS KEAMANAN,UNIT
SOSIAL DAN PERUMAHAN,PELAYANAN KOMUNITAS,POS RT,UNIT
SOSIAL DAN PERUMAHAN,PELAYANAN KOMUNITAS,POSKO SOSIAL,UNIT
SOSIAL DAN PERUMAHAN,PELAYANAN KOMUNITAS,YAYASAN SOSIAL,UNIT
SOSIAL DAN PERUMAHAN,PELAYANAN KOMUNITAS,PANTI SOSIAL,UNIT
SOSIAL DAN PERUMAHAN,PELAYANAN KOMUNITAS,PANTI ASUHAN,UNIT
SOSIAL DAN PERUMAHAN,PENDIDIKAN,PERPUSTAKAAN,UNIT
SOSIAL DAN PERUMAHAN,PENDIDIKAN,AKADEMI,UNIT
SOSIAL DAN PERUMAHAN,PENDIDIKAN,JASA PENDIDIKAN LAIN,UNIT
SOSIAL DAN PERUMAHAN,PENDIDIKAN,JASA PENDIDIKAN PEMERINTAH,UNIT
SOSIAL DAN PERUMAHAN,PENDIDIKAN,JASA PENDIDIKAN SWASTA LAIN,UNIT
SOSIAL DAN PERUMAHAN,PENDIDIKAN,PAUD,UNIT
SOSIAL DAN PERUMAHAN,PENDIDIKAN,PESANTREN,UNIT
SOSIAL DAN PERUMAHAN,PENDIDIKAN,SEKOLAH LUAR BIASA,UNIT
SOSIAL DAN PERUMAHAN,PENDIDIKAN,SEKOLAH TINGGI,UNIT
SOSIAL DAN PERUMAHAN,PENDIDIKAN,TK,UNIT
SOSIAL DAN PERUMAHAN,PENDIDIKAN,SD_SEDERAJAT,UNIT
SOSIAL DAN PERUMAHAN,PENDIDIKAN,SMA_SEDERAJAT,UNIT
SOSIAL DAN PERUMAHAN,PENDIDIKAN,SMP_SEDERAJAT,UNIT
SOSIAL DAN PERUMAHAN,PENDIDIKAN,UNIVERSITAS,UNIT
SOSIAL DAN PERUMAHAN,PENDIDIKAN,YAYASAN PENDIDIKAN,UNIT
SOSIAL DAN PERUMAHAN,PENDIDIKAN,LEMBAGA KURSUS,UNIT
SOSIAL DAN PERUMAHAN,PENDIDIKAN,MADRASAH,UNIT
SOSIAL DAN PERUMAHAN,PERUMAHAN,APARTEMEN,UNIT
SOSIAL DAN PERUMAHAN,PERUMAHAN,RUMAH,UNIT
SOSIAL DAN PERUMAHAN,PERUMAHAN,RUMAH TERATUR,UNIT
