subsector,asset,la1,la2,la3,la4,lb1,lb2,lb3,lb4,lc1,lc2,lc3,lc4,ld1,ld2,ld3,ld4,da1,da2,da3,da4,db1,db2,db3,db4,dc1,dc2,dc3,dc4,dd1,dd2,dd3,dd4,unit_type
TRANSPORTASI,JALAN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4131,5783,6610,0,4131,5783,6610,0,4131,5783,6610,0,4131,5783,6610,0,L
LINGKUNGAN,DANAU,100,100,100,0,105,105,105,0,125,125,125,0,145,145,145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A
LINGKUNGAN,HUTAN KOTA,200,200,200,0,210,210,210,0,250,250,250,0,290,290,290,0,0,0,0,0,0,0,0,0,0,0,0,0,18500,18500,48500,0,A
LINGKUNGAN,KUBURAN_MAKAM,5000,5000,5000,0,5500,5500,5500,0,7500,7500,7500,0,10000,10000,10000,0,0,0,0,0,0,0,0,0,0,0,0,0,7500,112500,112500,0,A
LINGKUNGAN,RAWA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A
LINGKUNGAN,RTH,200,200,200,0,210,210,210,0,250,250,250,0,290,290,290,0,0,0,0,0,0,0,0,0,0,0,0,0,15000,15000,45000,0,A
PERTANIAN,SAWAH,1375,1375,1375,0,1830,1830,1830,0,3650,3650,3650,0,5470,5470,5470,0,483,483,483,0,967,967,967,0,2900,2900,2900,0,4833,4833,4833,0,A
LINGKUNGAN,SITU,100,100,100,0,105,105,105,0,125,125,125,0,145,145,145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A
LINGKUNGAN,TAMAN,300,300,300,0,315,315,315,0,375,375,375,0,435,435,435,0,0,0,0,0,0,0,0,0,6850,6850,6850,0,21850,21850,51850,0,A
LINGKUNGAN,TANAH KOSONG,150,150,150,0,158,158,158,0,188,188,188,0,218,218,218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A
PENDIDIKAN,AKADEMI,1000000,1000000,1000000,0,1050000,1050000,1050000,0,1250000,1250000,1250000,0,1450000,1450000,1450000,0,12980000,30950000,31100000,0,13280000,31250000,31400000,0,30040000,51155000,51280000,0,72925000,93920000,103820000,0,U
PARIWISATA,AKOMODASI_REKREASI,800000,800000,800000,0,1100000,1100000,1100000,0,2300000,2300000,2300000,0,3500000,3500000,3500000,0,3600000,8550000,8700000,0,3900000,8850000,9000000,0,6350000,13235000,13385000,0,17500000,24735000,24735000,0,U
INDUSTRI,ANEKA INDUSTRI,45356164,45356164,45356164,0,83712328,83712328,83712328,0,237136984,237136984,237136984,0,390561640,390561640,390561640,0,19700000,1402370000,1402370000,0,19700000,1402970000,1402970000,0,51420000,1435590000,1435590000,0,152252000,1536422000,1536422000,0,U
PERUMAHAN,APARTEMEN,11000000,11000000,11000000,0,17000000,17000000,17000000,0,41000000,41000000,41000000,0,65000000,65000000,65000000,0,4400000,17300000,20400000,0,5600000,23500000,26600000,0,15090000,67865000,67865000,0,66930000,138375000,138375000,0,U
PERDAGANGAN,APOTIK,1200000,1200000,1200000,0,1900000,1900000,1900000,0,4700000,4700000,4700000,0,7500000,7500000,7500000,0,1700000,5350000,5500000,0,3400000,6700000,7200000,0,11335000,37420000,39620000,0,40450000,65685000,65685000,0,U
FINANSIAL,ASURANSI,500000,500000,500000,0,525000,525000,525000,0,625000,625000,625000,0,725000,725000,725000,0,3700000,14550000,14800000,0,4780000,15050000,15300000,0,13750000,25325000,25575000,0,48200000,63305000,85805000,0,U
FINANSIAL,ATM,100000,100000,100000,0,105000,105000,105000,0,125000,125000,125000,0,145000,145000,145000,0,0,8208955,8208955,0,0,8208955,8208955,0,0,8208955,8208955,0,0,8208955,8208955,0,U
PELAYANAN KOMUNITAS,AULA,500000,500000,500000,250000,525000,525000,525000,250000,625000,625000,625000,250000,725000,725000,725000,250000,0,0,0,0,0,0,0,0,1700000,3960000,3960000,0,8750000,16010000,16010000,0,U
PELAYANAN KOMUNITAS,BALAI WARGA,150000,150000,150000,75000,157500,157500,157500,75000,187500,187500,187500,75000,217500,217500,217500,75000,0,0,0,0,0,0,0,0,1100000,2055000,2055000,0,2930000,8885000,8885000,0,U
TRANSPORTASI,BANDARA,0,0,0,8035000000,0,0,0,16070000000,0,0,0,48210000000,0,0,0,80350000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,U
FINANSIAL,BANK,500000,500000,500000,0,525000,525000,525000,0,625000,625000,625000,0,725000,725000,725000,0,5300000,20550000,20800000,0,6580000,21050000,21300000,0,15965000,31740000,31990000,0,52950000,74055000,96555000,0,U
PARIWISATA,BILLIARD,3000000,3000000,3000000,0,5000000,5000000,5000000,0,13000000,13000000,13000000,0,21000000,21000000,21000000,0,0,4200000,4200000,0,0,4200000,4200000,0,800000,23600000,23855000,0,9010000,36510000,46110000,0,U
PARIWISATA,BIOSKOP,6500000,6500000,6500000,1500000,10000000,10000000,10000000,1500000,24000000,24000000,24000000,1500000,38000000,38000000,38000000,1500000,22320000,22320000,39920000,0,22320000,22320000,39920000,0,42970000,80710000,97310000,0,192080000,257950000,275550000,0,U
PERDAGANGAN,CARGO LOGISTIK,8500000,8500000,8500000,4250000,16500000,16500000,16500000,4250000,48500000,48500000,48500000,4250000,80500000,80500000,80500000,4250000,3500000,8450000,8600000,0,3800000,8750000,8900000,0,6200000,11960000,12110000,0,16800000,22410000,22410000,0,U
PERDAGANGAN,DEPARTEMENT STORE,9000000,9000000,9000000,1600000,9450000,9450000,9450000,1890000,11250000,11250000,11250000,2250000,13050000,13050000,13050000,2610000,5000000,30515000,40665000,0,5000000,30515000,40665000,0,5000000,30515000,40665000,0,5315000,39665000,40665000,0,U
TRANSPORTASI,DIPO KERETA API,5000000,5000000,5000000,0,5250000,5250000,5250000,0,6250000,6250000,6250000,0,7250000,7250000,7250000,0,1500000,1500000,15000000,0,1500000,1500000,15000000,0,15000000,30000000,55000000,0,25000000,40000000,65000000,0,U
PARIWISATA,DISKOTIK,3000000,3000000,3000000,0,5000000,5000000,5000000,0,13000000,13000000,13000000,0,21000000,21000000,21000000,0,0,2700000,3375000,0,0,2700000,3375000,0,1000000,26375000,27050000,0,9210000,39210000,39885000,0,U
PEMERINTAHAN,FASILITAS KEPOLISIAN,500000,500000,500000,250000,525000,525000,525000,262500,625000,625000,625000,312500,725000,725000,725000,362500,200000,300000,400000,0,400000,500000,600000,0,3050000,4360000,4460000,0,14175000,16885000,16885000,0,U
PEMERINTAHAN,FASILITAS MILITER,1000000,1000000,1000000,0,1050000,1050000,1050000,0,1250000,1250000,1250000,0,1450000,1450000,1450000,0,0,0,,0,0,0,0,0,1350000,2835000,2835000,0,20800000,23785000,23785000,0,U
PARIWISATA,FASILITAS OLAHRAGA,45500000,45500000,45500000,0,71525000,71525000,71525000,0,175625000,175625000,175625000,0,279725000,279725000,279725000,0,7500000,11250000,15000000,0,15000000,18750000,22500000,0,45000000,48750000,52500000,0,75000000,75000000,75000000,0,U
ENERGI,GARDU PLN,4177799,4177799,4177799,0,8355598,8355598,8355598,0,25066794,25066794,25066794,0,41777990,41777990,41777990,0,4767830,6674960,7628528,0,4767830,6674960,7628528,0,4767830,6674960,7628528,0,4767830,6674960,7628528,0,U
